ecommerce_sale_id,ecommerce_product_key,ecommerce_category_key,brand_key,list_price,sale_price,discount_amount,discount_pct,available_flag
84,82,37,9924,40.98,40.98,0.0,0.0,1
85,83,38,6433,22.19,22.19,0.0,0.0,1
86,84,19,545,2.89,2.74,0.1499999999999999,5.19,1
87,85,39,781,25.9,25.9,0.0,0.0,1
88,86,28,8422,34.25,34.25,0.0,0.0,1
89,87,40,1072,10.99,10.99,0.0,0.0,1
90,88,14,4819,97.33,96.5,0.8299999999999983,0.85,1
91,89,25,6976,97.33,96.5,0.8299999999999983,0.85,1
92,90,41,4572,8.04,8.04,0.0,0.0,1
93,91,37,9269,42.49,42.49,0.0,0.0,0
94,92,42,1496,58.81,58.81,0.0,0.0,1
95,93,12,807,20.04,17.64,2.3999999999999986,11.98,1
96,94,27,1760,19.95,19.95,0.0,0.0,1
97,95,16,815,17.64,17.64,0.0,0.0,0
98,96,43,2942,15.49,15.49,0.0,0.0,1
99,97,44,2994,21.94,21.94,0.0,0.0,1
100,98,14,5296,97.33,96.5,0.8299999999999983,0.85,1
101,99,12,154,29.59,29.59,0.0,0.0,1
102,100,1,9335,61.87,61.87,0.0,0.0,1
103,101,45,6944,11.37,11.37,0.0,0.0,1
104,102,46,6882,37.76,37.76,0.0,0.0,1
105,103,47,5206,19.63,19.63,0.0,0.0,1
106,104,48,4708,40.58,40.58,0.0,0.0,1
107,105,8,2554,53.98,53.98,0.0,0.0,1
108,106,17,10201,21.99,21.99,0.0,0.0,1
109,107,14,3663,12.99,12.99,0.0,0.0,0
110,108,4,1560,9.59,9.59,0.0,0.0,1
111,109,49,6769,9.97,9.97,0.0,0.0,1
112,110,6,4075,19.85,19.85,0.0,0.0,1
113,111,13,9926,29.67,29.67,0.0,0.0,1
114,112,50,500,5.14,5.14,0.0,0.0,1
115,113,14,8614,34.49,34.49,0.0,0.0,1
116,114,51,934,2.99,2.99,0.0,0.0,1
117,115,22,9578,0.0,0.0,0.0,0.0,0
118,116,12,1453,53.95,53.95,0.0,0.0,1
119,117,50,3971,5.05,5.05,0.0,0.0,0
120,118,12,10419,13.58,13.58,0.0,0.0,1
121,119,33,996,97.33,96.5,0.8299999999999983,0.85,1
122,120,25,1508,29.99,29.99,0.0,0.0,1
123,121,47,9978,21.21,21.21,0.0,0.0,1
124,122,28,34,14.19,14.19,0.0,0.0,1
125,123,4,5101,7.91,7.91,0.0,0.0,1
126,124,28,5061,31.99,31.99,0.0,0.0,1
127,125,29,7207,23.18,23.18,0.0,0.0,1
128,126,4,8787,27.84,27.84,0.0,0.0,1
129,127,4,821,10.99,10.99,0.0,0.0,1
130,128,27,3000,97.33,96.5,0.8299999999999983,0.85,1
131,129,4,4506,24.99,24.99,0.0,0.0,1
132,130,14,1308,14.1,10.89,3.209999999999999,22.77,1
133,131,33,1632,0.0,0.0,0.0,0.0,0
134,132,52,1783,28.34,28.34,0.0,0.0,1
135,133,4,10117,42.0,42.0,0.0,0.0,1
136,134,1,3796,85.89,85.89,0.0,0.0,1
137,135,53,9318,51.16,51.16,0.0,0.0,1
138,136,37,10590,12.99,12.99,0.0,0.0,1
139,137,38,6310,11.24,7.87,3.37,29.98,1
140,138,27,5855,29.99,29.99,0.0,0.0,1
141,139,14,4365,3.47,3.47,0.0,0.0,1
142,140,54,6584,28.1,28.1,0.0,0.0,1
143,141,18,9177,21.99,21.99,0.0,0.0,1
144,142,4,8267,34.0,34.0,0.0,0.0,1
145,143,12,5756,15.52,15.52,0.0,0.0,1
146,144,4,8795,15.2,15.2,0.0,0.0,1
147,145,14,946,19.78,19.78,0.0,0.0,1
148,146,14,4301,31.0,31.0,0.0,0.0,1
149,147,40,773,5.98,5.98,0.0,0.0,1
150,148,55,9565,5.81,5.81,0.0,0.0,1
151,149,29,7187,97.33,96.5,0.8299999999999983,0.85,1
152,150,13,10205,27.99,27.99,0.0,0.0,1
153,151,12,419,34.99,34.99,0.0,0.0,1
154,152,42,10433,7.48,7.48,0.0,0.0,1
155,153,56,3265,7.07,7.07,0.0,0.0,1
156,154,28,9724,4.2,4.2,0.0,0.0,0
157,155,12,329,12.6,12.6,0.0,0.0,1
158,156,29,527,97.33,96.5,0.8299999999999983,0.85,1
159,157,12,682,59.95,59.95,0.0,0.0,1
160,158,20,8171,42.99,42.99,0.0,0.0,1
161,159,14,7767,61.85,61.85,0.0,0.0,1
162,160,12,7882,76.87,76.87,0.0,0.0,1
163,161,31,7699,21.95,21.95,0.0,0.0,1
164,162,19,7097,54.46,54.46,0.0,0.0,1
165,163,42,4233,8.32,8.32,0.0,0.0,1
166,164,12,1942,97.33,96.5,0.8299999999999983,0.85,1
167,165,27,2148,18.99,18.99,0.0,0.0,1
168,166,57,6797,16.47,16.47,0.0,0.0,1
169,167,36,3738,52.99,52.99,0.0,0.0,1
170,168,1,1372,19.72,19.72,0.0,0.0,1
171,169,13,3898,34.95,34.95,0.0,0.0,1
172,170,35,10097,9.85,9.85,0.0,0.0,1
173,171,14,9522,30.76,30.76,0.0,0.0,1
174,172,56,3663,13.95,13.95,0.0,0.0,1
175,173,58,10266,49.99,49.99,0.0,0.0,1
176,174,27,6508,79.99,79.99,0.0,0.0,1
177,175,55,2028,9.99,9.99,0.0,0.0,1
178,176,17,1920,34.94,34.94,0.0,0.0,1
179,177,27,5855,36.0,36.0,0.0,0.0,1
180,178,59,4732,15.03,15.03,0.0,0.0,1
181,179,4,500,10.61,10.61,0.0,0.0,1
182,15039,4,500,10.61,10.61,0.0,0.0,1
183,180,12,1930,6.49,6.49,0.0,0.0,1
184,181,17,3289,22.99,22.99,0.0,0.0,1
185,182,12,62,8.28,8.28,0.0,0.0,1
186,183,60,4405,32.99,32.99,0.0,0.0,1
187,184,23,1952,57.2,57.2,0.0,0.0,1
188,185,53,4776,97.33,96.5,0.8299999999999983,0.85,1
189,186,16,9331,10.99,10.99,0.0,0.0,1
190,187,61,4811,11.94,11.94,0.0,0.0,1
191,188,1,8269,18.99,18.99,0.0,0.0,1
192,189,9,9588,23.28,23.28,0.0,0.0,1
193,190,14,675,64.9,64.9,0.0,0.0,1
194,191,62,8833,24.95,24.95,0.0,0.0,1
195,192,21,5312,13.24,13.24,0.0,0.0,1
196,193,63,5504,65.76,65.76,0.0,0.0,1
197,194,14,6065,75.22,75.22,0.0,0.0,1
198,195,13,7773,63.73,63.73,0.0,0.0,1
199,196,12,9087,22.99,22.99,0.0,0.0,1
200,197,14,3132,13.59,13.59,0.0,0.0,1
201,198,12,5989,97.33,96.5,0.8299999999999983,0.85,1
202,199,64,4145,16.5,16.5,0.0,0.0,1
203,200,27,69,48.76,44.99,3.769999999999996,7.73,1
204,201,12,3377,97.33,96.5,0.8299999999999983,0.85,1
205,202,12,7778,49.99,49.99,0.0,0.0,0
206,203,14,3217,16.99,16.99,0.0,0.0,0
207,204,65,1217,7.72,7.72,0.0,0.0,1
208,205,4,6962,22.95,22.95,0.0,0.0,1
209,206,4,5365,0.0,0.0,0.0,0.0,0
210,207,66,7896,5.0,5.0,0.0,0.0,1
211,208,52,9624,9.59,9.59,0.0,0.0,1
212,209,14,500,7.43,7.43,0.0,0.0,1
213,210,1,6405,14.99,14.99,0.0,0.0,1
214,211,12,9565,9.49,9.49,0.0,0.0,1
215,212,40,9757,9.88,9.88,0.0,0.0,1
216,213,1,2458,8.81,8.81,0.0,0.0,1
217,214,67,7162,7.18,7.18,0.0,0.0,1
218,215,14,4372,70.0,70.0,0.0,0.0,1
219,216,45,9931,7.64,7.64,0.0,0.0,1
220,217,25,3850,55.0,55.0,0.0,0.0,1
221,218,48,5638,6.94,6.94,0.0,0.0,1
222,219,68,5855,44.5,44.5,0.0,0.0,1
223,220,14,785,11.26,11.26,0.0,0.0,0
224,221,12,2311,97.33,96.5,0.8299999999999983,0.85,1
225,222,4,6565,27.59,27.59,0.0,0.0,1
226,223,31,593,15.96,15.96,0.0,0.0,1
227,224,16,5018,8.87,8.87,0.0,0.0,1
228,225,12,3181,22.0,22.0,0.0,0.0,1
229,226,29,4405,15.12,15.12,0.0,0.0,1
230,227,16,8111,5.83,5.83,0.0,0.0,1
231,228,69,8509,26.95,26.95,0.0,0.0,1
232,229,26,2225,20.38,20.38,0.0,0.0,1
233,230,18,6204,10.24,10.24,0.0,0.0,1
234,231,6,1875,28.95,28.95,0.0,0.0,1
235,232,12,10229,55.6,55.6,0.0,0.0,1
236,233,31,2615,4.88,4.88,0.0,0.0,1
237,234,70,9588,97.33,96.5,0.8299999999999983,0.85,1
238,235,9,4930,21.99,21.99,0.0,0.0,1
239,236,25,8794,11.95,11.95,0.0,0.0,1
240,237,26,9296,7.07,7.07,0.0,0.0,1
241,238,33,7173,42.23,42.23,0.0,0.0,1
242,239,1,1718,3.57,3.57,0.0,0.0,1
243,240,71,9683,22.99,22.99,0.0,0.0,1
244,241,25,980,24.39,24.39,0.0,0.0,1
245,242,56,5787,6.25,6.25,0.0,0.0,1
246,243,31,8259,10.97,10.97,0.0,0.0,1
247,244,6,7662,3.27,3.27,0.0,0.0,1
248,245,12,8406,23.49,23.49,0.0,0.0,1
249,246,4,10584,47.98,47.98,0.0,0.0,0
250,247,14,5264,6.88,6.88,0.0,0.0,1
251,248,25,5902,97.33,42.31,55.02,56.53,1
252,249,72,3723,11.28,11.28,0.0,0.0,1
253,250,25,9739,11.88,11.88,0.0,0.0,1
254,251,12,1642,14.79,14.79,0.0,0.0,1
255,252,51,9584,22.01,22.01,0.0,0.0,1
256,253,65,3223,15.95,15.95,0.0,0.0,0
257,254,1,5038,4.87,4.87,0.0,0.0,1
258,255,22,8459,14.99,14.99,0.0,0.0,1
259,256,5,412,19.99,19.99,0.0,0.0,1
260,257,14,5463,26.42,26.42,0.0,0.0,1
261,258,31,3297,8.49,8.49,0.0,0.0,1
262,259,14,312,18.89,18.89,0.0,0.0,1
263,7210,14,312,18.89,18.89,0.0,0.0,1
264,260,13,2118,97.33,96.5,0.8299999999999983,0.85,1
265,261,25,7686,24.95,24.95,0.0,0.0,1
266,262,62,7327,8.88,8.88,0.0,0.0,1
267,263,27,8307,97.33,96.5,0.8299999999999983,0.85,1
268,264,13,3125,39.99,39.99,0.0,0.0,1
269,265,73,9983,71.0,71.0,0.0,0.0,0
270,266,17,9182,97.33,96.5,0.8299999999999983,0.85,1
271,267,17,4712,97.33,96.5,0.8299999999999983,0.85,1
272,268,4,6565,6.87,6.87,0.0,0.0,1
273,269,22,3870,6.96,6.96,0.0,0.0,1
274,270,17,10283,10.68,10.68,0.0,0.0,1
275,271,48,2140,17.95,17.95,0.0,0.0,1
276,272,29,7153,97.33,96.5,0.8299999999999983,0.85,1
277,273,67,1599,97.33,96.5,0.8299999999999983,0.85,1
278,274,73,8469,82.8,82.8,0.0,0.0,1
279,275,19,4648,0.0,0.0,0.0,0.0,0
280,276,67,10276,20.69,20.69,0.0,0.0,1
281,277,13,2232,71.54,71.54,0.0,0.0,1
282,278,53,2770,6.97,6.97,0.0,0.0,1
283,279,19,8217,0.0,0.0,0.0,0.0,0
284,280,4,9634,38.99,38.99,0.0,0.0,1
285,281,42,3465,31.12,31.12,0.0,0.0,1
286,282,74,3663,12.49,12.49,0.0,0.0,1
287,283,27,386,20.49,20.49,0.0,0.0,1
288,284,16,8778,59.99,59.99,0.0,0.0,1
289,285,56,2959,21.24,21.24,0.0,0.0,1
290,286,38,2355,9.99,9.99,0.0,0.0,1
291,287,66,2186,30.99,30.99,0.0,0.0,1
292,288,51,6675,28.58,28.58,0.0,0.0,1
293,289,75,2616,7.39,7.39,0.0,0.0,1
294,290,13,2787,97.33,96.5,0.8299999999999983,0.85,1
295,291,76,3325,14.85,14.85,0.0,0.0,1
296,292,12,2842,97.33,96.5,0.8299999999999983,0.85,1
297,293,45,6267,43.28,43.28,0.0,0.0,1
298,294,60,10729,20.99,20.99,0.0,0.0,1
299,295,12,6754,45.0,45.0,0.0,0.0,1
300,296,16,8111,9.1,9.1,0.0,0.0,1
301,297,14,1963,6.99,6.99,0.0,0.0,1
302,298,4,3156,97.33,96.5,0.8299999999999983,0.85,0
303,299,10,6456,33.87,33.87,0.0,0.0,1
304,300,43,5035,23.39,23.39,0.0,0.0,1
305,301,45,4068,31.1,31.1,0.0,0.0,1
306,302,27,4983,21.02,21.02,0.0,0.0,1
307,303,72,3214,5.98,4.94,1.04,17.39,1
308,304,13,9278,24.99,24.99,0.0,0.0,1
309,305,4,9239,97.33,96.5,0.8299999999999983,0.85,1
310,306,67,1409,86.83,86.83,0.0,0.0,1
311,307,4,3270,69.99,69.99,0.0,0.0,1
312,308,4,500,0.0,0.0,0.0,0.0,0
313,309,28,8200,30.11,30.11,0.0,0.0,1
314,310,12,3377,97.33,96.5,0.8299999999999983,0.85,1
315,311,31,7262,14.99,14.99,0.0,0.0,1
316,312,14,7764,29.9,29.9,0.0,0.0,1
317,313,77,6658,97.33,96.5,0.8299999999999983,0.85,1
318,314,16,5150,11.99,11.99,0.0,0.0,1
319,315,14,8657,97.33,96.5,0.8299999999999983,0.85,1
320,316,47,9329,44.93,44.93,0.0,0.0,1
321,317,12,2502,44.95,44.95,0.0,0.0,1
322,318,36,3738,71.99,71.99,0.0,0.0,1
323,319,33,7231,32.07,32.07,0.0,0.0,1
324,320,78,9588,40.66,40.66,0.0,0.0,1
325,321,79,1931,16.99,16.99,0.0,0.0,1
326,322,47,5206,5.9,5.9,0.0,0.0,1
327,323,66,2510,97.33,96.5,0.8299999999999983,0.85,1
328,324,80,6597,4.23,4.23,0.0,0.0,1
329,325,14,4362,19.97,19.97,0.0,0.0,1
330,326,13,7528,44.49,44.49,0.0,0.0,1
331,327,31,2511,12.62,12.62,0.0,0.0,1
332,328,1,5007,15.61,15.61,0.0,0.0,0
333,329,33,934,13.99,13.99,0.0,0.0,1
334,330,6,1837,2.37,2.37,0.0,0.0,1
335,331,81,7974,14.42,14.42,0.0,0.0,1
336,332,12,5545,16.99,16.99,0.0,0.0,1
337,333,69,10466,38.19,38.19,0.0,0.0,1
338,334,20,4613,89.95,89.95,0.0,0.0,1
339,335,8,294,97.33,96.5,0.8299999999999983,0.85,1
340,336,14,5973,17.19,15.3,1.8900000000000008,10.99,1
341,337,82,3663,18.67,18.67,0.0,0.0,1
342,338,83,2904,97.33,96.5,0.8299999999999983,0.85,1
343,339,28,1608,46.26,46.26,0.0,0.0,1
344,340,14,4435,97.33,96.5,0.8299999999999983,0.85,1
345,341,4,3465,8.38,8.38,0.0,0.0,1
346,342,12,1350,97.33,96.5,0.8299999999999983,0.85,1
347,343,12,4640,97.33,96.5,0.8299999999999983,0.85,1
348,344,28,3346,78.99,78.99,0.0,0.0,1
349,345,27,5081,18.3,18.3,0.0,0.0,1
350,346,12,3932,10.69,10.69,0.0,0.0,1
351,347,9,1398,28.65,28.65,0.0,0.0,1
352,348,4,4847,16.35,16.35,0.0,0.0,0
353,349,12,9553,56.04,56.04,0.0,0.0,1
354,350,1,9588,7.98,7.98,0.0,0.0,1
355,351,26,5331,17.42,17.42,0.0,0.0,1
356,352,12,2790,71.95,71.95,0.0,0.0,1
357,353,65,6620,4.97,4.97,0.0,0.0,1
358,354,29,366,23.99,23.99,0.0,0.0,1
359,355,14,674,10.0,10.0,0.0,0.0,1
360,356,12,2025,33.24,33.24,0.0,0.0,1
361,357,25,9507,24.99,24.99,0.0,0.0,1
362,358,79,7042,23.98,23.98,0.0,0.0,1
363,359,39,3474,10.37,10.37,0.0,0.0,1
364,360,28,6068,35.19,35.19,0.0,0.0,1
365,361,4,3042,97.33,96.5,0.8299999999999983,0.85,1
366,362,5,3041,91.97,91.97,0.0,0.0,1
367,363,12,3911,15.04,15.04,0.0,0.0,1
368,364,12,1783,8.98,8.98,0.0,0.0,1
369,365,31,669,42.84,42.84,0.0,0.0,1
370,366,4,10246,17.66,17.66,0.0,0.0,1
371,367,12,3663,18.55,13.55,5.0,26.95,1
372,368,84,429,17.69,17.69,0.0,0.0,1
373,369,16,3411,18.94,18.94,0.0,0.0,1
374,370,1,2388,3.97,3.97,0.0,0.0,1
375,371,33,9588,14.67,14.67,0.0,0.0,1
376,372,14,6049,20.0,20.0,0.0,0.0,1
377,373,69,3763,16.67,16.67,0.0,0.0,1
378,374,19,3870,0.51,0.51,0.0,0.0,0
379,375,38,5306,43.88,43.88,0.0,0.0,1
380,376,38,1283,9.0,9.0,0.0,0.0,1
381,377,29,9020,13.97,13.97,0.0,0.0,1
382,378,29,8996,97.33,96.5,0.8299999999999983,0.85,1
383,379,69,9209,31.79,31.79,0.0,0.0,1
384,380,61,6215,6.99,6.99,0.0,0.0,1
385,381,56,1936,15.4,15.4,0.0,0.0,1
386,382,12,9565,5.98,5.98,0.0,0.0,1
387,383,38,9757,4.88,4.88,0.0,0.0,1
388,384,26,3581,6.51,6.51,0.0,0.0,1
389,385,12,3842,97.33,96.5,0.8299999999999983,0.85,1
390,386,4,4399,97.33,96.5,0.8299999999999983,0.85,1
391,387,4,8795,94.86,94.86,0.0,0.0,1
392,388,85,2607,14.99,14.99,0.0,0.0,1
393,389,29,3663,16.6,16.6,0.0,0.0,1
394,390,86,10024,4.97,4.97,0.0,0.0,1
395,391,48,9588,5.9,5.9,0.0,0.0,1
396,392,38,5281,8.69,8.69,0.0,0.0,1
397,393,4,500,7.02,7.02,0.0,0.0,1
398,394,5,4997,18.95,18.95,0.0,0.0,1
399,395,26,5114,15.98,15.98,0.0,0.0,1
400,396,14,3091,19.44,17.95,1.490000000000002,7.66,1
401,397,14,1167,7.36,5.5,1.8600000000000003,25.27,1
402,398,14,2386,97.33,96.5,0.8299999999999983,0.85,1
403,399,1,9588,34.28,34.28,0.0,0.0,1
404,400,29,4563,70.99,70.99,0.0,0.0,1
405,401,14,308,8.21,8.21,0.0,0.0,1
406,402,14,8706,97.33,96.5,0.8299999999999983,0.85,1
407,403,21,7426,19.97,19.97,0.0,0.0,1
408,404,14,8632,21.99,12.97,9.019999999999998,41.02,1
409,405,4,7617,24.99,24.99,0.0,0.0,1
410,406,12,4640,97.33,96.5,0.8299999999999983,0.85,1
411,407,46,7124,9.99,9.99,0.0,0.0,1
412,408,19,2461,24.87,24.87,0.0,0.0,1
413,409,25,5898,16.99,16.99,0.0,0.0,1
414,410,12,3378,23.4,23.4,0.0,0.0,1
415,411,87,7954,4.98,4.98,0.0,0.0,0
416,412,65,3704,18.66,18.66,0.0,0.0,1
417,413,88,5395,33.47,33.47,0.0,0.0,0
418,414,31,8608,20.35,20.35,0.0,0.0,1
419,415,66,4476,37.56,32.95,4.609999999999999,12.27,1
420,416,17,5188,54.99,54.99,0.0,0.0,1
421,417,14,10671,97.33,96.5,0.8299999999999983,0.85,1
422,418,89,2579,18.24,18.24,0.0,0.0,1
423,419,90,10159,86.69,86.69,0.0,0.0,1
424,420,49,2433,17.39,17.39,0.0,0.0,1
425,421,28,6379,5.78,5.78,0.0,0.0,1
426,422,14,2553,11.5,11.5,0.0,0.0,1
427,423,4,8757,37.21,37.21,0.0,0.0,1
428,424,9,10311,8.44,8.44,0.0,0.0,1
429,425,14,550,54.99,54.99,0.0,0.0,1
430,426,50,5599,6.19,6.19,0.0,0.0,1
431,427,4,8284,97.33,96.5,0.8299999999999983,0.85,1
432,428,12,9588,17.99,17.99,0.0,0.0,1
433,429,61,8148,9.28,9.28,0.0,0.0,1
434,430,91,3682,8.24,8.24,0.0,0.0,0
435,431,13,5696,34.99,25.99,9.000000000000004,25.72,1
436,432,18,3182,33.99,33.99,0.0,0.0,1
437,433,14,8623,7.8,4.99,2.81,36.03,1
438,434,14,4782,0.0,0.0,0.0,0.0,0
439,435,17,4345,14.71,14.71,0.0,0.0,1
440,436,13,3158,17.8,17.8,0.0,0.0,1
441,11963,13,3158,17.8,17.8,0.0,0.0,1
442,17183,13,3158,17.8,17.8,0.0,0.0,1
443,21168,13,3158,17.8,17.8,0.0,0.0,1
444,437,50,1982,22.99,22.99,0.0,0.0,1
445,438,38,6296,29.99,29.99,0.0,0.0,1
446,439,17,8869,97.33,96.5,0.8299999999999983,0.85,1
447,440,17,2722,8.76,8.76,0.0,0.0,0
448,441,19,6307,4.98,4.98,0.0,0.0,1
449,442,38,6304,14.03,14.03,0.0,0.0,1
450,443,14,9271,79.95,79.95,0.0,0.0,1
451,444,14,10490,97.33,96.5,0.8299999999999983,0.85,1
452,445,12,1117,18.28,18.28,0.0,0.0,0
453,446,47,3318,30.99,30.99,0.0,0.0,1
454,447,82,4102,8.59,8.59,0.0,0.0,1
455,448,92,734,54.99,29.99,25.000000000000004,45.46,1
456,449,6,5327,8.16,8.16,0.0,0.0,1
457,450,4,9099,22.1,22.1,0.0,0.0,1
458,451,5,9160,7.88,7.88,0.0,0.0,1
459,452,14,124,36.21,36.21,0.0,0.0,1
460,453,11,7635,29.52,29.52,0.0,0.0,1
461,454,44,438,14.85,14.85,0.0,0.0,1
462,455,93,6589,8.62,8.62,0.0,0.0,1
463,456,14,509,4.08,4.08,0.0,0.0,1
464,457,13,9588,34.95,34.95,0.0,0.0,1
465,458,19,10031,4.99,4.99,0.0,0.0,0
466,459,31,9640,19.54,19.54,0.0,0.0,1
467,460,54,1800,55.89,55.89,0.0,0.0,1
468,461,28,4251,21.99,21.99,0.0,0.0,1
469,462,62,7124,6.74,6.74,0.0,0.0,1
470,463,39,1231,15.99,15.99,0.0,0.0,1
471,464,37,5152,97.33,96.5,0.8299999999999983,0.85,1
472,465,12,1453,97.33,96.5,0.8299999999999983,0.85,1
473,466,4,9966,0.39,0.39,0.0,0.0,1
474,467,5,4354,97.33,96.5,0.8299999999999983,0.85,1
475,468,38,5751,5.7,1.9,3.8,66.67,1
476,469,27,280,80.09,80.09,0.0,0.0,1
477,470,1,5967,16.96,16.96,0.0,0.0,1
478,471,4,8267,7.97,7.97,0.0,0.0,0
479,472,29,7795,25.49,25.49,0.0,0.0,1
480,473,73,7932,85.56,85.56,0.0,0.0,1
481,474,12,10204,65.0,65.0,0.0,0.0,1
482,475,12,208,22.38,22.38,0.0,0.0,1
483,476,12,2282,32.99,32.99,0.0,0.0,1
484,477,13,144,77.09,77.09,0.0,0.0,1
485,478,53,2770,12.47,12.47,0.0,0.0,1
486,479,65,10230,64.99,64.99,0.0,0.0,1
487,480,66,2186,14.99,14.99,0.0,0.0,1
488,481,50,7772,59.13,59.13,0.0,0.0,1
489,482,12,6911,14.95,14.95,0.0,0.0,1
490,483,94,9553,60.0,60.0,0.0,0.0,1
491,484,56,4504,14.99,14.99,0.0,0.0,1
492,485,45,4279,21.98,21.98,0.0,0.0,0
493,486,27,8665,18.99,12.74,6.249999999999998,32.91,1
494,487,27,2340,19.99,14.69,5.299999999999999,26.51,1
495,488,27,5855,36.31,29.54,6.770000000000003,18.65,1
496,489,31,3032,15.99,15.99,0.0,0.0,1
497,490,14,8186,30.85,30.85,0.0,0.0,1
498,491,1,7516,17.91,17.91,0.0,0.0,1
499,492,65,1217,6.16,6.16,0.0,0.0,1
500,493,12,2778,97.33,96.5,0.8299999999999983,0.85,1
501,494,12,7681,32.95,32.95,0.0,0.0,1
502,495,95,1009,28.99,28.99,0.0,0.0,1
